backend,op,payload_size_bytes,repeat,total_time_ms,avg_time_ms,min_time_ms,max_time_ms,stdev_time_ms,avg_bandwidth_mbps
ENDPOINT,EXISTS,,10,7.74945,0.96868125,0.802132,1.179328,0.15037516773984233,
ENDPOINT,EVICT,,10,6.384103,0.798012875,0.732679,0.992346,0.08600678887562554,
ENDPOINT,GET,1000,10,7.387483,0.923435375,0.807193,1.151482,0.1347091458226495,1.0829128134711106
ENDPOINT,GET,10000,10,12.027379000000002,1.5034223750000002,1.349149,1.639628,0.12566484334125494,6.651490736260992
ENDPOINT,GET,100000,10,50.388609,6.298576125,6.148828,6.503551,0.1291583271541864,15.876604174566518
ENDPOINT,GET,1000000,10,509.85065399999996,63.731331749999995,58.885242,69.118662,3.5540652116362983,15.690869350145034
ENDPOINT,GET,10000000,10,4617.495098,577.18688725,548.568859,609.542879,21.81787727343059,17.32541092131334
ENDPOINT,SET,1000,10,7.421843,0.927730375,0.838309,1.031625,0.06668079290157056,1.0778993842903979
ENDPOINT,SET,10000,10,11.460102000000001,1.4325127500000001,1.390649,1.513235,0.04794787446428526,6.980740660074403
ENDPOINT,SET,100000,10,53.872723,6.734090375,6.527409,7.730272,0.40400426653968396,14.849815555081559
ENDPOINT,SET,1000000,10,476.36842399999995,59.54605299999999,58.881808,60.753184,0.6111584220116039,16.793724346431492
ENDPOINT,SET,10000000,10,4904.457076000001,613.0571345000001,566.514603,762.309043,65.8067333974037,16.311693376108973
REDIS,EXISTS,,10,1.633598,0.20419975,0.115526,0.254137,0.043540972722745375,
REDIS,EVICT,,10,0.9846299999999999,0.12307874999999999,0.09935,0.149466,0.020405772192830986,
REDIS,GET,1000,10,0.603413,0.075426625,0.061382,0.096951,0.013350884539315844,13.257917877142189
REDIS,GET,10000,10,0.799995,0.099999375,0.07142,0.115647,0.015862284864577362,100.00062500390628
REDIS,GET,100000,10,1.7632450000000002,0.22040562500000002,0.16821,0.269767,0.03991652418284044,453.7089287081489
REDIS,GET,1000000,10,6.799262,0.84990775,0.718984,1.167506,0.1471316214024028,1176.5982837549134
REDIS,GET,10000000,10,73.764035,9.220504375,8.224505,10.871493,1.0679293326843757,1084.539369355269
REDIS,SET,1000,10,1.457121,0.182140125,0.127622,0.225726,0.035520241969243,5.4902784326078615
REDIS,SET,10000,10,1.056873,0.132109125,0.099338,0.202101,0.032826993302278805,75.69499835836471
REDIS,SET,100000,10,1.498129,0.187266125,0.141014,0.240595,0.03168116426178405,533.999408595655
REDIS,SET,1000000,10,4.5047630000000005,0.5630953750000001,0.469784,0.920314,0.1599934865084357,1775.898088312304
REDIS,SET,10000000,10,35.396547999999996,4.4245684999999995,3.782679,6.003168,0.7198300709193206,2260.107398043448
