backend,op,payload_size_bytes,repeat,total_time_ms,avg_time_ms,min_time_ms,max_time_ms,stdev_time_ms,avg_bandwidth_mbps
ENDPOINT,EXISTS,,10,293.490508,36.6863135,36.539859,36.799613,0.10550823381681125,
ENDPOINT,EVICT,,10,294.10283000000004,36.762853750000005,36.563746,37.450162,0.32639148269119483,
ENDPOINT,GET,1000,25,852.185747,37.051554217391306,36.533593,44.33438,1.5923659816946485,0.026989421122059674
ENDPOINT,GET,10000,25,1689.2010729999997,73.44352491304346,72.858307,79.495667,1.3308323644221138,0.13615904209172855
ENDPOINT,GET,100000,10,972.0020290000001,121.50025362500001,112.111567,147.611303,15.856795793806624,0.8230435494286401
ENDPOINT,GET,1000000,10,1802.1298250000002,225.26622812500003,219.715603,230.823866,3.370813983255659,4.439191832364241
ENDPOINT,GET,10000000,10,8989.255362,1123.65692025,917.851381,1453.890219,194.35181051054752,8.899513561288014
ENDPOINT,SET,1000,10,293.83950600000003,36.729938250000004,36.623479,36.965751,0.10198851731269837,0.027225746833375086
ENDPOINT,SET,10000,10,752.7902080000001,94.09877600000002,73.222121,238.275425,58.25659712056012,0.10627130792859621
ENDPOINT,SET,100000,10,913.037655,114.129706875,113.334567,116.43648,1.1020149774221302,0.8761960644438044
ENDPOINT,SET,1000000,10,2651.401617,331.425202125,291.76662,406.009341,51.1698428099374,3.0172720529045374
ENDPOINT,SET,10000000,10,18205.918781,2275.739847625,1768.735164,3298.722848,501.2606649544154,4.394175375729421
REDIS,EXISTS,,10,291.30896299999995,36.413620374999994,36.251302,36.50398,0.08440028088805127,
REDIS,EVICT,,10,291.398641,36.424830125,36.332608,36.489406,0.04692336280860423,
REDIS,GET,1000,10,291.501741,36.437717625,36.314994,36.565633,0.07534394791494944,0.027444089947991086
REDIS,GET,10000,10,291.514407,36.439300875,36.331356,36.555925,0.08351482044085234,0.27442897530618443
REDIS,GET,100000,10,580.422671,72.552833875,72.422536,72.72638,0.10488571977625344,1.3783059138983909
REDIS,GET,1000000,10,582.8762119999999,72.85952649999999,72.675738,73.180315,0.16391914211063124,13.725041158481865
REDIS,GET,10000000,10,1811.6084079999998,226.45105099999998,220.572001,230.251775,3.7994645801207705,44.15965373461658
REDIS,SET,1000,10,291.760914,36.47011425,36.296841,36.660187,0.1134285480980991,0.0274197111954482
REDIS,SET,10000,10,366.14447099999995,45.768058874999994,36.234719,111.467472,26.54680035326396,0.21849298934245004
REDIS,SET,100000,10,900.930047,112.616255875,111.699124,113.798241,0.5751163504664438,0.8879712722024468
REDIS,SET,1000000,10,900.521097,112.565137125,112.421382,112.757727,0.13086947077957303,8.883745230013195
REDIS,SET,10000000,10,3216.078209,402.009776125,401.340629,402.828314,0.5267683993148153,24.875016962001997
