round,endpoint_name,transfer_time,data_transfer_size,model_param_size,model_arch_size,local,test_accuracy,test_loss,train_accuracy,train_loss,num_hidden_blocks,store,time_taken_for_process
1.0,hawfinch,3.1509087085723877,2281716.0,2281615.0,5596.0,False,0.5001999735832214,3.5255160331726074,0.20000000298023224,3.5255160331726074,1,no_store,158.40914962510578
1.0,kestrel,4.464042663574219,2281716.0,2281615.0,5596.0,False,0.5001999735832214,3.4406237602233887,0.23999999463558197,3.4406237602233887,1,no_store,158.40914962510578
1.0,ryerson,4.977897644042969,2281716.0,2281615.0,5596.0,False,0.5001999735832214,3.098623275756836,0.20999999344348907,3.098623275756836,1,no_store,158.40914962510578
1.0,jetson,4.599578380584717,2281716.0,2281615.0,5596.0,False,0.5001999735832214,3.867584466934204,0.1899999976158142,3.867584466934204,1,no_store,158.40914962510578
2.0,hawfinch,3.5057480335235596,2281716.0,2281615.0,5596.0,False,0.5511000156402588,1.1818077564239502,0.5899999737739563,1.1818077564239502,1,no_store,158.40914962510578
2.0,kestrel,4.121955871582031,2281716.0,2281615.0,5596.0,False,0.5511000156402588,1.3961129188537598,0.6100000143051147,1.3961129188537598,1,no_store,158.40914962510578
2.0,ryerson,4.196606874465942,2281716.0,2281615.0,5596.0,False,0.5511000156402588,1.218039631843567,0.5799999833106995,1.218039631843567,1,no_store,158.40914962510578
2.0,jetson,5.018494367599487,2281716.0,2281615.0,5596.0,False,0.5511000156402588,1.8763562440872192,0.47999998927116394,1.8763562440872192,1,no_store,158.40914962510578
3.0,hawfinch,3.682363510131836,2281716.0,2281615.0,5596.0,False,0.7580000162124634,0.8284576535224915,0.7099999785423279,0.8284576535224915,1,no_store,158.40914962510578
3.0,kestrel,3.6565568447113037,2281716.0,2281615.0,5596.0,False,0.7580000162124634,1.0115361213684082,0.7400000095367432,1.0115361213684082,1,no_store,158.40914962510578
3.0,ryerson,4.885563611984253,2281716.0,2281615.0,5596.0,False,0.7580000162124634,0.8728668093681335,0.7200000286102295,0.8728668093681335,1,no_store,158.40914962510578
3.0,jetson,5.049120664596558,2281716.0,2281615.0,5596.0,False,0.7580000162124634,1.2898974418640137,0.6299999952316284,1.2898974418640137,1,no_store,158.40914962510578
4.0,hawfinch,3.8073320388793945,2281716.0,2281615.0,5596.0,False,0.6513000130653381,0.7031806707382202,0.7599999904632568,0.7031806707382202,1,no_store,158.40914962510578
4.0,kestrel,3.95033860206604,2281716.0,2281615.0,5596.0,False,0.6513000130653381,0.7957565784454346,0.7400000095367432,0.7957565784454346,1,no_store,158.40914962510578
4.0,ryerson,3.9455277919769287,2281716.0,2281615.0,5596.0,False,0.6513000130653381,0.5826830863952637,0.8299999833106995,0.5826830863952637,1,no_store,158.40914962510578
4.0,jetson,4.708059310913086,2281716.0,2281615.0,5596.0,False,0.6513000130653381,0.7889309525489807,0.7300000190734863,0.7889309525489807,1,no_store,158.40914962510578
5.0,hawfinch,3.952775716781616,2281716.0,2281615.0,5596.0,False,0.717199981212616,0.48818832635879517,0.8399999737739563,0.48818832635879517,1,no_store,158.40914962510578
5.0,kestrel,4.767385005950928,2281716.0,2281615.0,5596.0,False,0.717199981212616,0.5546471476554871,0.8600000143051147,0.5546471476554871,1,no_store,158.40914962510578
5.0,ryerson,4.793153285980225,2281716.0,2281615.0,5596.0,False,0.717199981212616,0.4315515458583832,0.8399999737739563,0.4315515458583832,1,no_store,158.40914962510578
5.0,jetson,4.85608696937561,2281716.0,2281615.0,5596.0,False,0.717199981212616,0.6318008899688721,0.75,0.6318008899688721,1,no_store,158.40914962510578
1.0,hawfinch,4.915362596511841,4092635.0,4092898.0,19217.0,False,0.10100000351667404,5.748912811279297,0.10000000149011612,5.748912811279297,10,no_store,471.0637515000999
1.0,kestrel,6.424186944961548,4092635.0,4092898.0,19217.0,False,0.10100000351667404,5.407418251037598,0.14000000059604645,5.407418251037598,10,no_store,471.0637515000999
1.0,ryerson,6.7794411182403564,4092635.0,4092898.0,19217.0,False,0.10100000351667404,5.497640609741211,0.10000000149011612,5.497640609741211,10,no_store,471.0637515000999
1.0,jetson,6.027572393417358,4092635.0,4092898.0,19217.0,False,0.10100000351667404,5.418460845947266,0.10999999940395355,5.418460845947266,10,no_store,471.0637515000999
2.0,hawfinch,4.394761085510254,4092635.0,4092898.0,19217.0,False,0.12160000205039978,3.7120521068573,0.20000000298023224,3.7120521068573,10,no_store,471.0637515000999
2.0,kestrel,5.833613157272339,4092635.0,4092898.0,19217.0,False,0.12160000205039978,3.435730218887329,0.18000000715255737,3.435730218887329,10,no_store,471.0637515000999
2.0,ryerson,5.9623777866363525,4092635.0,4092898.0,19217.0,False,0.12160000205039978,3.149681329727173,0.2800000011920929,3.149681329727173,10,no_store,471.0637515000999
2.0,jetson,5.921401023864746,4092635.0,4092898.0,19217.0,False,0.12160000205039978,3.314436435699463,0.23000000417232513,3.314436435699463,10,no_store,471.0637515000999
3.0,hawfinch,4.113966464996338,4092635.0,4092898.0,19217.0,False,0.1340000033378601,1.920148491859436,0.3199999928474426,1.920148491859436,10,no_store,471.0637515000999
3.0,kestrel,4.184422731399536,4092635.0,4092898.0,19217.0,False,0.1340000033378601,1.999678134918213,0.28999999165534973,1.999678134918213,10,no_store,471.0637515000999
3.0,ryerson,5.326056241989136,4092635.0,4092898.0,19217.0,False,0.1340000033378601,1.9247009754180908,0.3799999952316284,1.9247009754180908,10,no_store,471.0637515000999
