proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
FileStore,pong,10,0,0.0,502.756548,2.979441,0.44412,0.478354,7.161406,4.606903,0.233429,0.250341,4.63765
FileStore,pong,10,0,0.0,506.604613,3.411933,0.475849,0.507098,7.337275,9.861897,0.240163,0.264939,9.888837
FileStore,pong,10,0,0.0,494.603496,3.242708,0.682596,0.715568,7.279343,3.857431,0.224391,0.24948,3.879512
FileStore,pong,10,0,0.0,501.00835,3.479153,0.492541,0.520032,7.663843,4.007411,0.247897,0.26513,4.027469
FileStore,pong,10,0,0.0,500.646413,3.362478,0.525542,0.554377,8.305657,3.842053,0.216146,0.240723,3.864975
FileStore,pong,10,0,0.0,500.342846,4.601752,0.445693,0.471482,11.423013,3.644764,0.245743,0.262485,3.665323
FileStore,pong,10,0,0.0,501.792756,3.323242,0.549097,0.574835,7.278652,4.203458,0.211076,0.234942,4.231781
FileStore,pong,10,0,0.0,500.423617,3.518989,1.641359,1.66892,7.103485,4.095155,0.235874,0.252997,4.117918
FileStore,pong,10,0,0.0,500.448002,3.402625,0.45952,0.486209,7.22617,3.811125,0.287283,0.319164,3.8348
FileStore,pong,10,0,0.0,502.917721,3.678225,0.376013,0.406029,7.323738,5.756251,0.232137,0.24918,5.784154
FileStore,pong,100,0,0.0,498.74034,3.216909,0.298578,0.327803,8.323943,3.64275,0.245672,0.263547,3.673258
FileStore,pong,100,0,0.0,501.474422,36.330556,0.622674,0.65274,41.585986,3.708363,0.216527,0.241244,3.730244
FileStore,pong,100,0,0.0,500.368032,3.429216,0.239087,0.263613,7.24686,3.935027,0.225544,0.242978,3.9579
FileStore,pong,100,0,0.0,500.04521,3.444165,0.210884,0.239759,8.07825,3.704415,0.515262,0.60799,3.725605
FileStore,pong,100,0,0.0,501.117013,3.315358,0.463116,0.489075,7.063949,3.944975,0.193161,0.214512,3.967107
FileStore,pong,100,0,0.0,501.523724,8.425849,0.21428,0.242914,12.771738,4.102239,0.179585,0.199985,4.127306
FileStore,pong,100,0,0.0,500.792607,6.355505,0.234158,0.261388,12.136596,4.350664,0.17657,0.196799,4.373416
FileStore,pong,100,0,0.0,499.967265,3.19193,0.344013,0.36912,8.999491,2.184043,0.947272,0.976087,2.208329
FileStore,pong,100,0,0.0,501.735089,3.419238,0.484947,0.522466,7.33483,4.003474,1.324608,1.344867,4.027509
FileStore,pong,100,0,0.0,500.105052,3.607389,0.221034,0.250599,7.715983,3.623514,1.409502,1.430452,3.644363
FileStore,pong,1000,0,0.0,500.682,5.183381,0.498262,0.523058,214.774887,4.176648,1.095487,1.121487,4.208598
FileStore,pong,1000,0,0.0,499.80978,4.473415,0.300713,0.330708,8.31812,3.682304,1.28879,1.309529,3.707231
FileStore,pong,1000,0,0.0,500.990436,4.683409,0.522137,0.547133,8.247375,3.832204,1.285082,1.307736,3.855849
FileStore,pong,1000,0,0.0,500.791936,4.69952,0.538838,0.568743,8.448622,3.774616,1.25769,1.280884,3.795877
FileStore,pong,1000,0,0.0,501.699993,57.01144,0.566289,0.591385,62.422217,4.563712,1.259844,1.280132,4.588067
FileStore,pong,1000,0,0.0,499.375828,6.351257,0.44912,0.474187,12.981061,3.547252,1.338755,1.358604,3.568571
FileStore,pong,1000,0,0.0,502.522171,4.904735,0.928115,0.953793,8.997488,3.961306,0.894951,0.921392,3.985892
FileStore,pong,1000,0,0.0,498.015685,5.267733,0.621492,0.651027,10.416016,2.216674,1.280553,1.301784,2.249055
FileStore,pong,1000,0,0.0,502.246034,6.379281,0.482392,0.515463,13.311356,3.509421,1.252039,1.272508,3.533766
FileStore,pong,1000,0,0.0,504.122572,5.098337,0.463466,0.493373,9.131927,4.363117,1.785925,1.808098,4.384848
FileStore,pong,10000,0,0.0,498.255093,4.583838,0.619839,0.650306,8.597589,3.764748,0.853331,0.87355,3.793301
FileStore,pong,10000,0,0.0,499.502625,4.482342,0.988848,1.02141,9.958897,3.695789,1.324869,1.344436,3.716337
FileStore,pong,10000,0,0.0,501.234383,5.498518,0.274282,0.298458,10.067837,4.105716,1.27844,1.301474,4.127477
FileStore,pong,10000,0,0.0,501.079903,6.751328,0.425165,0.44955,12.050761,3.81384,1.279351,1.300051,3.838667
FileStore,pong,10000,0,0.0,500.825148,4.899144,0.282097,0.312635,9.301302,3.676243,1.290472,1.312696,3.699657
FileStore,pong,10000,0,0.0,501.44186,5.428663,0.217506,0.242052,9.599656,3.839528,1.449438,1.470018,3.865777
FileStore,pong,10000,0,0.0,529.727611,4.775916,0.513239,0.543607,8.432611,32.811201,1.295311,1.316632,32.833513
FileStore,pong,10000,0,0.0,469.740584,4.670855,0.397473,0.423391,8.420237,2.100507,1.250255,1.270203,2.121085
FileStore,pong,10000,0,0.0,501.782197,4.653662,0.223678,0.250438,8.408144,3.775458,1.262919,1.286314,3.793832
FileStore,pong,10000,0,0.0,500.612189,6.615567,0.253524,0.274253,12.238614,3.582748,1.990138,2.013613,3.601183
FileStore,pong,100000,0,0.0,500.010615,4.78243,0.447346,0.469198,8.915751,3.507107,0.890763,0.914329,3.523768
FileStore,pong,100000,0,0.0,501.391796,5.304854,0.769098,0.792772,9.28467,3.761211,1.437425,1.459918,3.776179
FileStore,pong,100000,0,0.0,501.79424,4.982495,0.236422,0.256379,8.795249,5.023341,1.275323,1.295351,5.057374
FileStore,pong,100000,0,0.0,499.035842,6.125934,0.295693,0.325499,10.289012,3.645455,1.702736,1.724087,3.667697
FileStore,pong,100000,0,0.0,499.949781,5.741264,0.402432,0.434312,9.844777,3.596554,1.500787,1.520454,3.611793
FileStore,pong,100000,0,0.0,502.112233,4.857735,0.269364,0.293419,8.463781,4.379477,1.21638,1.23758,4.39689
FileStore,pong,100000,0,0.0,499.034801,5.979442,0.395991,0.421839,10.723537,3.614879,1.388461,1.411185,3.632541
FileStore,pong,100000,0,0.0,501.813906,5.185114,0.233787,0.254416,9.974878,2.144749,1.307675,1.328014,2.158616
FileStore,pong,100000,0,0.0,498.819628,5.153353,0.421207,0.442076,9.064947,3.377224,1.271466,1.291595,3.393955
FileStore,pong,100000,0,0.0,500.178428,6.379782,0.546482,0.566739,11.42666,3.713312,1.27388,1.295252,3.729482
FileStore,pong,1000000,0,0.0,504.916937,7.170384,1.120344,1.141634,11.345254,9.536928,0.876035,0.898058,9.565201
FileStore,pong,1000000,0,0.0,491.118982,8.228829,1.269944,1.29426,13.17854,3.280803,1.279711,1.301954,3.293717
FileStore,pong,1000000,0,0.0,497.93278,6.703715,0.691352,0.723372,13.438962,3.87821,1.561423,1.582915,3.896524
FileStore,pong,1000000,0,0.0,497.633391,7.062135,0.779317,0.801879,11.988191,3.551941,0.865184,0.888529,3.569834
FileStore,pong,1000000,0,0.0,520.969688,6.516746,0.845551,0.86682,10.5112,26.87308,1.327564,1.349125,26.889611
FileStore,pong,1000000,0,0.0,474.376893,8.628509,0.591366,0.611794,13.496442,3.377544,1.352722,1.373532,3.390549
FileStore,pong,1000000,0,0.0,498.514598,9.541334,0.602897,0.622865,14.964005,3.682144,1.706011,1.727543,3.69614
FileStore,pong,1000000,0,0.0,496.812887,7.543912,0.585975,0.614548,12.658681,2.306702,1.464317,1.485507,2.324045
FileStore,pong,1000000,0,0.0,498.837301,8.918215,0.776923,0.797671,14.985066,3.904349,2.10537,2.126842,3.92621
FileStore,pong,1000000,0,0.0,498.719322,8.24003,1.099616,1.12324,13.057988,4.7229,1.312766,1.335529,4.750742
FileStore,pong,10000000,0,0.0,469.850289,26.064539,7.755669,7.792408,31.664801,3.463776,0.840076,0.86312,3.481298
FileStore,pong,10000000,0,0.0,476.300359,17.093431,5.581776,5.618353,23.691745,3.584271,1.287046,1.308367,3.602165
FileStore,pong,10000000,0,0.0,472.75556,19.681479,5.708371,5.746594,25.739021,3.815844,1.385455,1.40919,3.837164
FileStore,pong,10000000,0,0.0,471.900653,17.246867,5.293857,5.331788,24.466966,3.581506,1.35692,1.381428,3.601523
FileStore,pong,10000000,0,0.0,476.705496,18.122051,5.63766,5.676082,22.902456,4.54683,1.302155,1.326391,4.566777
FileStore,pong,10000000,0,0.0,471.336819,19.353518,5.452293,5.490885,24.729601,4.099855,1.279501,1.303076,4.116796
FileStore,pong,10000000,0,0.0,471.529468,24.590353,5.923824,5.965964,40.034712,4.483542,1.380485,1.402759,4.50393
FileStore,pong,10000000,0,0.0,470.997695,30.989552,5.19945,5.236199,37.750998,2.412891,1.224526,1.251647,2.432518
FileStore,pong,10000000,0,0.0,474.52081,18.320392,5.592464,5.630275,23.256045,4.330005,1.287196,1.315851,4.350303
FileStore,pong,10000000,0,0.0,973.462287,28.450729,5.440882,5.479133,240.393177,3.747947,1.392329,1.415904,3.766862
FileStore,pong,100000000,0,0.0,722.442283,105.932375,74.942475,74.991006,113.60841,3.334283,1.561154,1.608514,3.354772
FileStore,pong,100000000,0,0.0,715.377345,87.296486,76.133221,76.190699,96.862538,3.400497,1.852433,1.89692,3.420404
FileStore,pong,100000000,0,0.0,708.098577,80.560969,75.792314,75.857346,88.57701,3.208378,1.335539,1.376959,3.227744
FileStore,pong,100000000,0,0.0,714.184926,124.100113,74.590337,74.65597,135.040958,3.065992,1.723255,1.764675,3.084206
FileStore,pong,100000000,0,0.0,725.568237,113.107897,75.860731,75.925242,121.461977,3.140181,1.375686,1.411174,3.157703
FileStore,pong,100000000,0,0.0,728.92916,87.158901,74.77913,74.829254,94.634713,3.322111,1.428067,1.462694,3.34309
FileStore,pong,100000000,0,0.0,711.903301,108.467861,74.685866,74.735419,116.32203,2.963139,2.031208,2.075392,2.980071
FileStore,pong,100000000,0,0.0,709.956511,88.460926,76.596358,76.644658,96.923155,3.10232,1.443487,1.478394,3.119502
