proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
RedisStore,pong,10000000,0,0.0,451.013409,16.13947,7.218119,7.254786,16.381525,0.414166,0.151452,0.182093,0.436131
RedisStore,pong,10000000,0,0.0,444.787659,18.934047,6.310086,6.358923,19.241071,0.410214,1.263979,1.293735,0.434662
RedisStore,pong,10000000,0,0.0,414.393908,20.38509,5.253969,5.291702,20.756624,0.497602,0.177167,0.209593,0.530147
RedisStore,pong,100000000,0,0.0,469.628739,171.200984,85.581221,85.814359,171.554936,0.567529,0.196109,0.229862,0.622166
RedisStore,pong,100000000,0,0.0,483.633708,176.575593,67.530332,67.581504,177.140935,0.3327,0.464901,0.975481,0.353082
RedisStore,pong,100000000,0,0.0,487.504523,180.068266,70.836326,70.889321,180.430139,0.492808,0.193885,0.228569,0.531038
RedisStore,pong,100000000,0,0.0,463.224768,164.294294,67.585492,67.639598,164.649629,0.403774,0.19162,0.232985,0.429941
RedisStore,pong,100000000,0,0.0,476.978662,167.279775,66.800627,66.855586,167.637649,0.393212,0.19434,0.226609,0.429423
EndpointStore,pong,0,0,0.0,2145.29637,6.152743,5.178248,5.210488,23.026226,5.343548,4.686523,4.709476,5.363345
EndpointStore,pong,0,0,0.0,505.319117,4.957511,4.443819,4.471518,9.541204,4.860697,6.057925,6.082843,4.886535
EndpointStore,pong,0,0,0.0,475.954662,4.787021,4.557795,4.577993,9.423589,5.520477,4.928027,4.94859,5.549985
EndpointStore,pong,0,0,0.0,454.328555,5.062823,5.623582,5.647852,10.080309,4.660376,4.621049,4.646251,4.674931
EndpointStore,pong,0,0,0.0,453.640088,5.276929,4.435938,4.455812,9.882239,7.841363,4.51336,4.534361,7.86082
EndpointStore,pong,10,0,0.0,478.74847,4.941705,4.568491,4.59391,9.741296,4.720123,4.514026,4.537426,4.734462
EndpointStore,pong,10,0,0.0,555.726274,5.006271,6.044861,6.066103,9.795219,4.781856,4.50798,4.528828,4.796246
EndpointStore,pong,10,0,0.0,452.548296,4.866149,4.59935,4.620329,9.788576,7.33302,4.416612,4.43685,7.355541
EndpointStore,pong,10,0,0.0,475.548523,5.087638,4.437652,4.458178,9.927543,4.820888,4.584967,4.604931,4.835229
