route,payload_size_bytes,total_queries,sleep_seconds,workers,min_worker_elapsed_time_ms,max_worker_elapsed_time_ms,avg_worker_elapsed_time_ms,stdev_worker_elapsed_time_ms,min_latency_ms,max_latency_ms,avg_latency_ms,stdev_latency_ms,qps
GET,1000,100,0,1,301.34645300000005,301.34645300000005,301.34645300000005,0,2.791755,3.866633,3.0134645300000007,0.1423224669820889,331.8439590194877
GET,1000,200,0,2,418.19372000000004,418.20929500000017,418.2015075000001,0.011013188117069741,3.692951,20.796488,4.182015075000001,1.6554272086373725,478.22944729145706
GET,1000,400,0,4,559.6972899999998,567.9512669999999,565.6746167499998,4.003029157536218,3.165911,8.829466,5.656746167499998,0.8389440068197284,704.2857780965212
GET,1000,800,0,8,966.8579709999999,991.4010700000002,981.3336856249998,8.706174865589462,4.790171,24.774034,9.81333685625,1.683490077294941,806.9388103444348
GET,1000,1600,0,16,1551.3072159999995,1836.222087,1790.5671423750005,78.46213097385585,3.536962,38.338635,17.90567142375,3.207241289060224,871.3542938665239
GET,1000,3200,0,32,3572.1529849999993,3609.980816000001,3594.1907864062505,9.823965903311617,23.966187,74.303065,35.9419078640625,7.304109470182811,886.4313034066824
GET,1000,6400,0,64,7200.629187000003,7326.0491649999985,7295.2979873125,18.470712903579106,44.955845,134.085848,72.95297987312502,16.597066751317666,873.5950108792372
GET,1000,12800,0,128,18117.948964000007,18324.33235600001,18221.40516817968,33.42971259791238,126.09591,250.778585,182.21405168179686,23.435196742559476,698.5247675781674
GET,10000,100,0,1,303.1685939999999,303.1685939999999,303.1685939999999,0,2.847763,3.603329,3.031685939999999,0.11504534995337863,329.8494698299786
GET,10000,200,0,2,304.185747,305.0954580000001,304.64060250000006,0.6432628170200868,2.763932,5.314796,3.0464060250000005,0.324718487277432,655.5325382785604
GET,10000,800,0,8,1066.3279029999997,1069.229264,1068.211343125,1.2955450386982594,8.204038,54.304547,10.682113431249999,5.097219838867188,748.2024921457817
GET,10000,1600,0,16,1371.1309620000002,1894.1197279999994,1841.82344925,127.76601401924641,5.642213,48.131196,18.4182344925,4.49848466065367,844.7195688571596
GET,10000,3200,0,32,3702.4133809999985,3725.926359,3711.35059975,6.288976458412886,32.418883,77.446598,37.1135059975,9.322994588196865,858.846818663063
GET,10000,6400,0,64,7213.627708999999,7270.674563999999,7235.899551671875,14.813124109229564,45.998454,123.9666,72.35899551671874,14.467157322135265,880.2484478797807
GET,10000,12800,0,128,18045.643576000002,18280.721447999997,18146.683334140616,51.99387537088581,107.754378,263.059933,181.46683334140624,24.038342482152707,700.1911842708147
GET,100000,100,0,1,307.72376099999997,307.72376099999997,307.72376099999997,0,2.909121,3.81248,3.0772376099999996,0.1306082555559625,324.96678083952054
GET,100000,200,0,2,304.01815100000005,304.844363,304.431257,0.5842201078976583,2.761608,4.246191,3.04431257,0.2654006919649918,656.0724890294265
GET,100000,400,0,4,693.1481580000001,693.3203690000003,693.2368137500002,0.07826296886943529,5.390322,45.731605,6.932368137500002,3.503357903390742,576.9338647542314
GET,100000,800,0,8,1037.7497950000002,1054.3011389999997,1049.5141506249997,5.653642767527776,5.013811,40.129979,10.49514150625,3.0264339010470445,758.7964865131387
GET,100000,1600,0,16,1800.4108250000004,2079.914545999999,2039.7009949375001,73.93510707538121,6.864374,52.613403,20.397009949375,5.493878654880716,769.2623733398327
GET,100000,3200,0,32,3782.5543589999997,3820.9059110000007,3819.1130902812492,6.6755727617378735,24.521652,86.350989,38.191130902812496,9.330915502777959,837.497722932021
GET,100000,6400,0,64,8521.143178999999,8602.127984,8555.795297765628,15.972045136682281,57.916966,151.288577,85.55795297765627,16.72956768765215,744.0019506689544
GET,100000,12800,0,128,19594.306856000003,19820.756613,19706.630320968758,54.320971947151605,142.824421,289.078579,197.06630320968756,24.79357674212757,645.7876583583475
GET,1000000,100,0,1,340.736536,340.736536,340.736536,0,3.012268,6.007603,3.40736536,0.30283781963767237,293.4818824359945
GET,1000000,200,0,2,341.61550500000016,342.97764,342.2965725000001,0.9631748953914339,3.054088,5.846505,3.422965725000001,0.29747045204908434,583.1283928596628
GET,1000000,400,0,4,757.7140190000001,781.130199,772.0787532500001,10.514742406357946,3.600975,36.574571,7.720787532499999,2.6165500977326936,512.0785248247713
GET,1000000,800,0,8,1264.6197229999998,1313.7869890000004,1294.963282125,18.85351577497152,5.136785,45.566278,12.94963282125,3.5115741558839693,608.926718484955
GET,1000000,1600,0,16,2449.8506209999996,2621.5190890000013,2588.1024528749995,46.57065940772352,5.024901,73.4614,25.881024528750004,6.561252292386702,610.3331487127688
GET,1000000,3200,0,32,5045.234157000004,5067.026041000003,5056.5266714375,5.853903138076863,35.96821,88.101821,50.565266714375,7.052377205248281,631.5341531910627
GET,1000000,6400,0,64,10823.594393999998,10920.795715,10857.724886796874,22.62931456819382,63.693496,175.304921,108.57724886796876,14.324986560042941,586.0378828631902
GET,1000000,12800,0,128,23784.752665999997,23993.645214,23896.08560071093,50.801644462715075,143.146157,317.369556,238.96085600710953,25.51958437691728,533.4745882018525
GET,10000000,100,0,1,972.1552449999998,972.1552449999998,972.1552449999998,0,8.669089,15.403794,9.721552449999997,0.800476136332171,102.86422926206608
GET,10000000,200,0,2,1213.7910810000003,1220.8393719999995,1217.3152264999999,4.983894361875514,9.758775,15.447839,12.173152264999999,1.2942416529191474,163.82171527803584
GET,10000000,400,0,4,2043.6420479999995,2068.207069,2059.1762735,10.903317126085538,13.522863,56.207472,20.591762735000003,4.211580689220445,193.40423209819326
