backend,op,payload_size_bytes,repeat,total_time_ms,avg_time_ms,min_time_ms,max_time_ms,avg_bandwidth_mbps
REDIS,GET,1000,5,108.192133,36.064044333333335,35.912007,36.161158,0.027728448610954
REDIS,GET,10000,5,108.243707,36.081235666666664,35.966478,36.147237,0.2771523706223402
REDIS,GET,100000,5,109.42298,36.47432666666666,36.366414,36.551697,2.7416544495498116
REDIS,GET,1000000,5,121.14869,40.38289666666667,40.196407,40.577088,24.762958641979537
REDIS,GET,10000000,5,590.6844070000001,196.89480233333336,193.922876,202.371055,50.78854231545678
REDIS,SET,1000,5,107.45379999999999,35.81793333333333,35.727211,35.923922,0.027918975410827728
REDIS,SET,10000,5,107.393024,35.797674666666666,35.758533,35.849827,0.27934775353751096
REDIS,SET,100000,5,109.475413,36.491804333333334,36.428815,36.565524,2.740341340388458
REDIS,SET,1000000,5,125.730568,41.910189333333335,40.759561,42.625326,23.86054598910266
REDIS,SET,10000000,5,575.746548,191.915516,191.314367,192.498682,52.106261173796916
REDIS,EXISTS,,5,107.700843,35.900281,35.86154,35.940555,
REDIS,EVICT,,5,107.73237,35.91079,35.735553,35.999605,
ENDPOINT,GET,1000,5,327.58449,109.19483000000001,108.24109,110.803805,0.00915794273410197
ENDPOINT,GET,10000,5,325.21800099999996,108.40600033333332,108.329489,108.458383,0.0922458163685718
ENDPOINT,GET,100000,5,543.791583,181.263861,180.579217,181.902507,0.551681948339388
ENDPOINT,GET,1000000,5,996.597158,332.19905266666666,328.257137,338.73198,3.0102433826125763
ENDPOINT,GET,10000000,5,3609.259175,1203.0863916666667,1182.947599,1240.214221,8.311955042685456
ENDPOINT,SET,1000,5,325.829736,108.60991200000001,108.472354,108.780832,0.009207262777268431
ENDPOINT,SET,10000,5,327.32374000000004,109.10791333333334,108.764519,109.303285,0.09165238060642958
ENDPOINT,SET,100000,5,542.281229,180.76040966666667,180.613869,180.996174,0.5532184850897724
ENDPOINT,SET,1000000,5,1424.758578,474.91952599999996,440.066352,510.374999,2.1056198898000247
ENDPOINT,SET,10000000,5,9522.614686,3174.2048953333338,2422.017403,3605.011485,3.1503952421917827
ENDPOINT,EXISTS,,5,324.754948,108.25164933333333,108.151322,108.317772,
ENDPOINT,EVICT,,5,324.81439,108.27146333333333,108.030362,108.652082,
