proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
EndpointStore,pong,100000000,0,1.0,34230.325171,33860.82072,340.344646,340.409953,32922.345328,43.235535,7.745946,7.799736,43.257555
EndpointStore,pong,100000000,0,1.0,30863.306493,30472.818659,504.531122,504.600174,29534.555932,42.255698,8.025376,8.061383,42.278798
EndpointStore,pong,100000000,0,1.0,32817.20254,32449.788576,404.214322,404.331756,31517.906862,48.668293,7.551618,7.618589,48.698827
EndpointStore,pong,100000000,0,1.0,31928.332012,31474.656976,398.805404,398.872952,30539.871269,47.348098,16.128731,16.186492,47.372063
,pong,0,0,1.0,5946.87118,,,,,,,,
,pong,0,0,1.0,1308.96593,,,,,,,,
,pong,0,0,1.0,1239.163571,,,,,,,,
,pong,0,0,1.0,1294.099375,,,,,,,,
,pong,0,0,1.0,1230.608783,,,,,,,,
,pong,10,0,1.0,1213.654835,,,,,,,,
,pong,10,0,1.0,1215.536037,,,,,,,,
,pong,10,0,1.0,1212.962501,,,,,,,,
,pong,10,0,1.0,1221.976272,,,,,,,,
,pong,10,0,1.0,1222.273233,,,,,,,,
,pong,100,0,1.0,1273.077843,,,,,,,,
,pong,100,0,1.0,1286.540751,,,,,,,,
,pong,100,0,1.0,1214.4408,,,,,,,,
,pong,100,0,1.0,1214.583024,,,,,,,,
,pong,100,0,1.0,1219.577886,,,,,,,,
,pong,1000,0,1.0,1220.427595,,,,,,,,
,pong,1000,0,1.0,1203.008717,,,,,,,,
,pong,1000,0,1.0,1221.692437,,,,,,,,
,pong,1000,0,1.0,1243.109572,,,,,,,,
,pong,1000,0,1.0,1214.933119,,,,,,,,
,pong,10000,0,1.0,1271.126937,,,,,,,,
,pong,10000,0,1.0,1285.181121,,,,,,,,
,pong,10000,0,1.0,1293.938083,,,,,,,,
,pong,10000,0,1.0,1279.538046,,,,,,,,
,pong,10000,0,1.0,1290.786965,,,,,,,,
,pong,100000,0,1.0,1862.185962,,,,,,,,
,pong,100000,0,1.0,1784.880502,,,,,,,,
,pong,100000,0,1.0,1853.275001,,,,,,,,
,pong,100000,0,1.0,1743.771206,,,,,,,,
,pong,100000,0,1.0,1799.221442,,,,,,,,
,pong,1000000,0,1.0,2466.612686,,,,,,,,
,pong,1000000,0,1.0,2463.303596,,,,,,,,
,pong,1000000,0,1.0,2121.673217,,,,,,,,
,pong,1000000,0,1.0,2140.422937,,,,,,,,
,pong,1000000,0,1.0,2402.95286,,,,,,,,
,pong,10000000,0,1.0,6233.696394,,,,,,,,
,pong,10000000,0,1.0,5385.67494,,,,,,,,
,pong,10000000,0,1.0,5189.110207,,,,,,,,
,pong,10000000,0,1.0,4928.552608,,,,,,,,
,pong,10000000,0,1.0,4769.705781,,,,,,,,
GlobusStore,pong,0,0,1.0,11672.960955,412.386683,827.277347,827.326599,0.015916,4367.867911,143.04126,143.094786,4367.90571
GlobusStore,pong,0,0,1.0,9294.883512,4191.77407,214.062552,214.113417,3317.742601,4372.334352,137.553163,137.595407,4372.364485
GlobusStore,pong,0,0,1.0,9804.443145,4199.524161,205.838943,205.88446,3325.373342,4367.226719,173.799569,173.830578,4367.258034
GlobusStore,pong,0,0,1.0,9292.960507,4201.219829,214.342596,214.391756,3329.274938,4369.646825,137.686191,137.717334,4369.677438
GlobusStore,pong,0,0,1.0,9703.38704,4417.247021,203.604666,203.663919,3544.478171,4532.798251,161.489512,161.521804,4532.829734
GlobusStore,pong,10,0,1.0,9363.460947,4196.277873,214.063078,214.11075,3324.22158,4370.470301,140.63108,140.672488,4370.501932
GlobusStore,pong,10,0,1.0,9503.873738,4196.356427,201.073943,201.134379,3326.228424,4570.335265,136.608976,136.654299,4570.365526
GlobusStore,pong,10,0,1.0,9517.13568,4408.050243,200.031921,200.075181,3537.754793,4369.634393,151.362921,151.405535,4369.707288
GlobusStore,pong,10,0,1.0,10148.073672,4205.439878,217.880173,217.945575,3839.057913,4577.558794,200.750488,200.801161,4577.602604
GlobusStore,pong,10,0,1.0,9598.407436,4224.053352,198.441934,198.488035,3362.917722,4631.536015,140.813491,140.854209,4631.559058
GlobusStore,pong,100,0,1.0,9331.20556,4210.99394,195.068934,195.106648,3351.644059,4361.190922,147.841805,147.889939,4361.215164
GlobusStore,pong,100,0,1.0,9319.664094,4224.985883,223.365108,223.415101,3364.465052,4355.314705,148.13057,148.161043,4355.339564
GlobusStore,pong,100,0,1.0,9807.028912,4424.840708,198.457281,198.491731,3573.169236,4626.511304,151.529443,151.601188,4626.536632
GlobusStore,pong,100,0,1.0,9341.718259,4217.019462,209.982891,210.025545,3353.928161,4353.432553,162.455016,162.504766,4353.456929
GlobusStore,pong,100,0,1.0,9372.404055,4223.173843,207.070909,207.10765,3364.410463,4360.98179,192.889438,192.947486,4361.006173
GlobusStore,pong,1000,0,1.0,9796.271319,4669.044345,223.898689,223.936432,3812.713109,4361.448044,157.526395,157.578,4361.472121
GlobusStore,pong,1000,0,1.0,10009.659638,4218.081319,232.175304,232.211631,3360.099707,4550.455871,146.143442,146.175489,4550.477312
GlobusStore,pong,1000,0,1.0,9364.800986,4292.960151,184.305505,184.361664,3435.854553,4339.943369,169.570272,169.62168,4339.969048
GlobusStore,pong,1000,0,1.0,9473.258966,4418.026881,183.456465,183.488476,3557.796486,4338.229915,148.014997,148.068546,4338.265878
GlobusStore,pong,1000,0,1.0,9386.118834,4216.537558,176.148291,176.195301,3356.715893,4341.475486,227.269746,227.330127,4341.499166
GlobusStore,pong,10000,0,1.0,9548.926847,4208.775258,293.550959,293.599118,3351.213808,4591.913726,156.716657,156.747301,4591.937838
GlobusStore,pong,10000,0,1.0,9319.122169,4226.669572,193.075926,193.118273,3366.512294,4338.066686,172.658645,172.708451,4338.090847
GlobusStore,pong,10000,0,1.0,9536.378036,4487.247106,190.044689,190.081971,3626.381693,4335.253625,150.034349,150.080022,4335.279101
GlobusStore,pong,10000,0,1.0,9504.722788,4223.056889,181.966755,182.013007,3361.974609,4554.408178,147.597414,147.647435,4554.438478
GlobusStore,pong,10000,0,1.0,14032.772631,4218.430174,197.390125,197.422003,3359.51012,9079.203471,142.466788,142.499193,9079.228161
GlobusStore,pong,100000,0,1.0,9899.873216,4729.978981,625.269788,625.313936,3900.772156,4362.073998,185.773019,185.809506,4362.099053
GlobusStore,pong,100000,0,1.0,9407.804074,4258.024569,211.566798,211.600073,3423.470561,4359.599548,187.092691,187.125396,4359.624179
GlobusStore,pong,100000,0,1.0,10426.084406,5287.375684,263.254372,263.288627,4454.98511,4360.191174,171.861308,171.90744,4360.216088
GlobusStore,pong,100000,0,1.0,9850.571555,4467.99398,216.050981,216.096653,3631.213955,4570.91574,195.652079,195.696562,4570.94137
GlobusStore,pong,100000,0,1.0,9421.397988,4268.8112,191.976531,192.023454,3440.865783,4363.179284,158.58098,158.613754,4363.202514
GlobusStore,pong,1000000,0,1.0,10465.647775,5280.93401,198.137344,198.184455,4452.560589,4360.476813,177.8206,177.966882,4360.500806
GlobusStore,pong,1000000,0,1.0,9641.479344,4251.445258,204.879833,204.919792,3417.677226,4563.783941,181.828271,181.879485,4563.809441
GlobusStore,pong,1000000,0,1.0,9685.092522,4498.604912,230.608725,230.649326,3666.646672,4364.025874,176.632461,176.680952,4364.051588
GlobusStore,pong,1000000,0,1.0,9981.208941,4251.411647,234.752944,234.791455,3729.783805,4580.922898,143.174286,143.211403,4580.946809
GlobusStore,pong,1000000,0,1.0,9571.85748,4187.714595,225.599467,225.637135,3310.309991,4566.051486,148.543038,148.58478,4566.076216
GlobusStore,pong,10000000,0,1.0,9437.34733,4220.962837,214.537782,214.582695,3350.893847,4358.705717,137.027614,137.066717,4358.746203
GlobusStore,pong,10000000,0,1.0,9387.225739,4209.47608,208.532676,208.575068,3310.894208,4364.945936,172.100857,172.141266,4364.967937
GlobusStore,pong,10000000,0,1.0,9758.910023,4450.942576,209.831241,209.876932,3579.740799,4572.688913,145.459716,145.516684,4572.713508
GlobusStore,pong,10000000,0,1.0,9360.909407,4211.025891,218.920063,218.963116,3338.457989,4364.519618,141.340662,141.380779,4364.544812
GlobusStore,pong,10000000,0,1.0,10359.314343,5254.782258,215.411306,215.452543,4386.681057,4370.060579,137.875029,137.924851,4370.084862
GlobusStore,pong,100000000,0,1.0,10118.137957,4573.00347,319.430414,319.494511,3718.452168,4362.588965,133.755185,133.801159,4362.61379
GlobusStore,pong,100000000,0,1.0,11320.485311,5356.103889,321.404181,321.535783,4814.31444,4360.146267,161.63588,161.672552,4360.176275
GlobusStore,pong,100000000,0,1.0,10593.905577,5426.546225,312.032759,312.096488,4611.570893,4347.942224,195.772043,195.805449,4347.966821
GlobusStore,pong,100000000,0,1.0,10583.919087,5433.562444,358.150339,358.269188,4615.263581,4348.124736,163.141184,163.174844,4348.155471
GlobusStore,pong,100000000,0,1.0,11169.081931,5707.722631,335.987329,336.049443,4888.33148,4651.951149,170.995146,171.034265,4651.976086
